Statement,Suspiciousness
org.apache.commons.lang3.text.translate.EntityArrays#28,0
org.apache.commons.lang3.text.translate.EntityArrays#31,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#131,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#135,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#333,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#336,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#344,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#347,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#352,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#355,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#364,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#30,0.6244131455399061
org.apache.commons.lang3.text.translate.EntityArrays#130,0
org.apache.commons.lang3.text.translate.EntityArrays#134,0
org.apache.commons.lang3.text.translate.EntityArrays#332,0
org.apache.commons.lang3.text.translate.EntityArrays#335,0
org.apache.commons.lang3.text.translate.EntityArrays#343,0
org.apache.commons.lang3.text.translate.EntityArrays#346,0
org.apache.commons.lang3.text.translate.EntityArrays#351,0
org.apache.commons.lang3.text.translate.EntityArrays#354,0
org.apache.commons.lang3.text.translate.EntityArrays#363,0
org.apache.commons.lang3.text.translate.EntityArrays#372,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#373,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#374,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#375,0.6018099547511312
org.apache.commons.lang3.text.translate.EntityArrays#377,0.6018099547511312
